############################################################
Species: N
############################################################
# number of spectral data
46
#No.  E(cm-1)    g   2nd qn
1 	 0.0 	       4 	   1 	 
29 	 9 	 2.33711e+05 
30 	 9 	 5.10413e+05 
39 	 9 	 1.63972e+05 
14 	 10 	 1.12833e+06 
15 	 10 	 4.04667e+03 
16 	 10 	 4.92333e+04 
17 	 10 	 5.81029e+03 
18 	 10 	 5.99692e+06 
19 	 10 	 6.40600e+05 
20 	 10 	 2.99200e+04 
27 	 10 	 6.94333e+05 
29 	 10 	 1.74222e+05 
37 	 10 	 2.48000e+05 
38 	 10 	 3.40204e+04 
40 	 10 	 8.21875e+04 
42 	 10 	 1.13255e+04 
43 	 10 	 2.15873e+03 
44 	 10 	 6.91000e+04 
45 	 10 	 1.03648e+04 
13 	 11 	 7.95800e+03 
14 	 11 	 5.27333e+03 
15 	 11 	 7.32667e+06 
16 	 11 	 3.46200e+06 
18 	 11 	 1.10708e+07 
19 	 11 	 1.95180e+05 
20 	 11 	 6.20334e+06 
28 	 11 	 2.29667e+06 
29 	 11 	 3.12916e+05 
30 	 11 	 4.73984e+04 
38 	 11 	 4.01122e+04 
39 	 11 	 1.03178e+04 
13 	 12 	 2.67480e+03 
14 	 12 	 2.62383e+03 
15 	 12 	 7.53333e+06 
16 	 12 	 2.34133e+06 
17 	 12 	 6.80000e+03 
18 	 12 	 4.06692e+04 
19 	 12 	 1.47202e+04 
20 	 12 	 1.34240e+07 
28 	 12 	 1.40033e+06 
30 	 12 	 6.51905e+04 
38 	 12 	 1.25163e+04 
39 	 12 	 8.37846e+03 
24 	 13 	 4.51200e+05 
26 	 13 	 1.81133e+05 
31 	 13 	 2.71767e+07 
33 	 13 	 9.56421e+05 
35 	 13 	 1.40394e+07 
36 	 13 	 3.14200e+07 
22 	 14 	 3.06060e+06 
23 	 14 	 3.94117e+06 
25 	 14 	 4.13900e+06 
33 	 14 	 9.98316e+04 
34 	 14 	 4.83800e+05 
21 	 15 	 7.53000e+05 
24 	 15 	 2.52320e+06 
26 	 15 	 4.36600e+06 
31 	 15 	 3.95583e+04 
32 	 15 	 1.91000e+05 
33 	 15 	 1.41842e+04 
35 	 15 	 1.02000e+06 
36 	 15 	 3.45600e+05 
21 	 16 	 1.01100e+06 
24 	 16 	 2.45600e+05 
26 	 16 	 2.36033e+04 
31 	 16 	 1.71667e+04 
33 	 16 	 7.85368e+03 
35 	 16 	 9.70400e+04 
36 	 16 	 6.06667e+04 
22 	 17 	 7.25895e+05 
33 	 17 	 6.08675e+04 
22 	 18 	 4.43090e+04 
23 	 18 	 1.19033e+05 
24 	 18 	 9.03740e+05 
25 	 18 	 1.85200e+06 
33 	 18 	 1.89958e+04 
34 	 18 	 3.60000e+05 
35 	 18 	 4.14320e+05 
22 	 19 	 9.28200e+04 
23 	 19 	 5.94883e+05 
33 	 19 	 3.01147e+04 
24 	 20 	 1.30160e+05 
26 	 20 	 9.42600e+05 
31 	 20 	 2.87550e+04 
33 	 20 	 1.71158e+04 
29 	 21 	 2.71111e+05 
38 	 21 	 7.85714e+04 
