############################################################
Species: N2
############################################################
Band: First_Positive
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu    A (1/s)
  15    19   8.1870e+02 
  15    20   2.2350e+03 
  15    21   2.1180e+03 
  16     9   1.1090e+02 
  16    10   6.6620e+03 
  16    11   5.6080e+04 
  16    12   6.7450e+04 
  16    13   2.0420e+03 
  16    14   2.7770e+04 
  16    15   1.2190e+04 
  16    16   8.0680e+02 
  16    17   1.0110e+04 
  16    18   8.2340e+03 
  16    19   1.7770e+03 
  16    20   3.2490e+01 
  16    21   1.2220e+03 
  17    10   1.5750e+02 
  17    11   8.7550e+03 
  17    12   6.2650e+04 
  17    13   5.4000e+04 
  17    14   8.2310e+03 
  17    15   1.9250e+04 
  17    16   1.8180e+04 
  17    17   1.5490e+02 
  17    18   6.2390e+03 
  17    19   9.2980e+03 
  17    20   4.1540e+03 
  17    21   3.6870e+02 
  18    11   2.1220e+02 
  18    12   1.1070e+04 
  18    13   6.7460e+04 
  18    14   3.9710e+04 
  18    15   1.6540e+04 
  18    16   1.0490e+04 
  18    17   2.1580e+04 
  18    18   2.6270e+03 
  18    19   2.3980e+03 
  18    20   8.2420e+03 
  18    21   6.2820e+03 
  19    11   2.0500e+00 
  19    12   2.7130e+02 
  19    13   1.3510e+04 
  19    14   7.0110e+04 
  19    15   2.6200e+04 
  19    16   2.4750e+04 
  19    17   3.6920e+03 
  19    18   2.1380e+04 
  19    19   7.1040e+03 
  19    20   1.9090e+02 
  19    21   5.5240e+03 
  20    12   4.5830e+00 
  20    13   3.2820e+02 
  20    14   1.5930e+04 
  20    15   7.0410e+04 
  20    16   1.4830e+04 
  20    17   3.0920e+04 
  20    18   2.9170e+02 
  20    19   1.7800e+04 
  20    20   1.1770e+04 
  20    21   5.1130e+02 
  21    13   9.5610e+00 
  21    14   3.7400e+02 
  21    15   1.8170e+04 
  21    16   6.8370e+04 
  21    17   6.5140e+03 
  21    18   3.3840e+04 
  21    19   6.4480e+02 
  21    20   1.2110e+04 
  21    21   1.4800e+04 
END First_Positive
Band: Second_Positive
Upper Electronic State: 6 
Lower Electronic State: 3 
   0     0   1.3370e+07 
   0     1   8.9050e+06 
   0     2   3.5320e+06 
   0     3   1.0860e+06 
   0     4   2.8630e+05 
   0     5   6.8100e+04 
   0     6   1.5020e+04 
   0     7   3.1370e+03 
   0     8   6.3200e+02 
   0     9   1.2520e+02 
   0    10   2.4770e+01 
   0    11   4.9400e+00 
   1     0   1.2660e+07 
   1     1   5.7920e+05 
   1     2   5.5900e+06 
   1     3   4.8850e+06 
   1     4   2.3750e+06 
   1     5   8.6760e+05 
   1     6   2.6720e+05 
   1     7   7.3340e+04 
   1     8   1.8540e+04 
   1     9   4.4190e+03 
   1    10   1.0120e+03 
   1    11   2.2620e+02 
   1    12   4.9620e+01 
   1    13   1.0660e+01 
   1    14   2.1970e+00 
   2     0   4.3230e+06 
   2     1   1.0650e+07 
   2     2   8.4610e+05 
