############################################################
Species: N2
############################################################
# ---------------------------------------
Band: First_Positive
# ---------------------------------------
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu      q
  15    17   3.0240e-02 
  15    18   1.2220e-03 
  15    19   7.9160e-03 
  15    20   2.5470e-02 
  15    21   3.0390e-02 
  16     9   1.1510e-03 
  16    10   3.0180e-02 
  16    11   1.9650e-01 
  16    12   2.2550e-01 
  16    13   3.6040e-03 
  16    14   9.2900e-02 
  16    15   3.9420e-02 
  16    16   4.2340e-03 
  16    17   4.7140e-02 
  16    18   4.2960e-02 
  16    19   1.0320e-02 
  16    20   4.4730e-04 
  16    21   1.2680e-02 
  17    10   1.8440e-03 
  17    11   4.2050e-02 
  17    12   2.2800e-01 
  17    13   1.8790e-01 
  17    14   1.9810e-02 
  17    15   6.6100e-02 
  17    16   5.9390e-02 
  17    17   2.2120e-04 
  17    18   2.8680e-02 
  17    19   4.6430e-02 
  17    20   2.3310e-02 
  17    21   2.1030e-03 
  18    11   2.8340e-03 
  18    12   5.6640e-02 
  18    13   2.5610e-01 
  18    14   1.4560e-01 
  18    15   4.3830e-02 
  18    16   3.7960e-02 
  18    17   7.0920e-02 
  18    18   7.9330e-03 
  18    19   1.1340e-02 
  18    20   3.9610e-02 
  18    21   3.3480e-02 
  19    11   3.9000e-05 
  19    12   4.1930e-03 
  19    13   7.4030e-02 
  19    14   2.7910e-01 
  19    15   1.0330e-01 
  19    16   6.9310e-02 
  19    17   1.5170e-02 
  19    18   7.0810e-02 
  19    19   2.2820e-02 
  19    20   1.2770e-03 
  19    21   2.5890e-02 
  20    12   5.5900e-05 
  20    13   5.9870e-03 
  20    14   9.4130e-02 
  20    15   2.9560e-01 
  20    16   6.5120e-02 
  20    17   9.0490e-02 
  20    18   2.2670e-03 
  20    19   5.9810e-02 
  20    20   3.8350e-02 
  20    21   1.2420e-03 
  21    13   7.4800e-05 
  21    14   8.2650e-03 
  21    15   1.1670e-01 
  21    16   3.0480e-01 
  21    17   3.4430e-02 
  21    18   1.0330e-01 
  21    19   7.0340e-04 
  21    20   4.1920e-02 
  21    21   4.8480e-02 
END First_Positive
END N2
############################################################
Species: N2+
############################################################
# ---------------------------------------
Band: First_Negative
# ---------------------------------------
Upper Electronic State: 3
Lower Electronic State: 2
   0     0   6.6090e-01 
   0     1   2.5460e-01 
   0     2   6.6380e-02 
   0     3   1.4550e-02 
   0     4   2.9290e-03 
   0     5   5.6730e-04 
   0     6   1.0850e-04 
   0     7   2.0810e-05 
   0     8   4.0250e-06 
   1     0   2.9290e-01 
   1     1   2.3400e-01 
   1     2   2.8840e-01 
   1     3   1.3000e-01 
   1     4   4.0730e-02 
